time;inflow;outflow;outflow_wb
336;0.315720288;0.0611585856;0.099324576
337;0.286660512;0.0610029792;0.10669536
338;0.2576016;0.0608472864;0.11406528
339;0.228542688;0.06069168;0.121436064
340;0.219134592;0.0603718272;0.126594144
341;0.209726496;0.0600519744;0.13175136
342;0.2003184;0.0597320352;0.13690944
343;0.196747488;0.0597007584;0.131693472
344;0.193175712;0.0596694816;0.126478368
345;0.1896048;0.0596381184;0.1212624
346;0.229747104;0.0597841344;0.122846976
347;0.269889408;0.059930064;0.124430688
348;0.310031712;0.06007608;0.126015264
349;0.3078;0.0601695648;0.133927776
350;0.305568288;0.060263136;0.141840288
351;0.303335712;0.0603567072;0.1497528
352;0.296155008;0.0608457312;0.150901056
353;0.288974304;0.0613347552;0.152048448
354;0.2817936;0.0618236928;0.153196704
355;0.293515488;0.0616028544;0.147137472
356;0.305236512;0.0613819296;0.14107824
357;0.3169584;0.0611610048;0.135018144
358;0.322828416;0.0598497984;0.131264064
359;0.328699296;0.0585386784;0.127509984
360;0.334569312;0.0572275584;0.12375504
361;0.359073216;0.0572534784;0.138893184
362;0.383577984;0.0572793984;0.154030464
363;0.408081888;0.0573053184;0.169167744
364;0.382521312;0.0575279712;0.18752256
365;0.3569616;0.057750624;0.205877376
