time;inflow;outflow;outflow_wb
138;0.268502688;0.0673866432;0.211583232
139;0.25887168;0.0676439424;0.200942208
140;0.248336928;0.0681448032;0.186566976
141;0.237801312;0.068645664;0.17219088
142;0.22726656;0.0691464384;0.157815648
143;0.2235168;0.0683945856;0.158233824
144;0.21976704;0.0676427328;0.158651136
145;0.21601728;0.06689088;0.159068448
146;0.30720384;0.066027744;0.199133856
147;0.3983904;0.0651645216;0.239199264
148;0.48957696;0.0643012992;0.279264672
149;0.537989472;0.0643765536;0.314153856
150;0.586402848;0.0644517216;0.349042176
151;0.63481536;0.064526976;0.38393136
152;1.25347392;0.0645011424;0.45534096
153;1.87213248;0.0644753088;0.526749696
154;2.49079104;0.0644494752;0.598159296
155;1.9289664;0.0650783808;0.70510176
156;1.36714176;0.0657073728;0.812045088
157;0.80531712;0.0663363648;0.91898496
158;0.754991712;0.0670355136;0.815392224
159;0.704667168;0.067734576;0.711796896
160;0.65434176;0.0684337248;0.608200704
161;0.59111424;0.0680480352;0.545319648
162;0.52788672;0.0676623456;0.482437728
163;0.4646592;0.0672767424;0.419555808
164;0.430053408;0.0667135872;0.40923792
165;0.395446752;0.066150432;0.398920032
166;0.36084096;0.0655872768;0.388602144
167;0.387100512;0.065711952;0.397084032
168;0.413360928;0.0658366272;0.405565056
169;0.43962048;0.065961216;0.414046944
170;0.405204768;0.0655301664;0.424516896
171;0.370788192;0.0650991168;0.434986848
172;0.33637248;0.0646680672;0.445457664
173;0.363352608;0.0639192384;0.461425248
174;0.390331872;0.0631703232;0.477392832
175;0.417312;0.0624214944;0.493360416
176;0.433963872;0.0625106592;0.503623872
177;0.450616608;0.0625999104;0.513886464
178;0.46726848;0.0626890752;0.52414992
179;0.419586912;0.0635943744;0.509339232
180;0.371906208;0.06449976;0.49452768
181;0.32422464;0.0654050592;0.479716128
182;0.299675808;0.065646288;0.428557824
183;0.275126112;0.0658875168;0.377398656
184;0.25057728;0.0661287456;0.326239488
185;0.243797472;0.06556032;0.284232672
186;0.237018528;0.0649918944;0.24222672
187;0.23023872;0.0644234688;0.200219904
188;0.2033856;0.0643141728;0.183287232
189;0.17653248;0.0642047904;0.16635456
190;0.14967936;0.0640954944;0.149421888
191;0.149460768;0.0647855712;0.147025152
192;0.149241312;0.0654757344;0.14462928
193;0.14902272;0.0661658112;0.142232544
194;0.14235264;0.0661460256;0.142652448
195;0.13568256;0.06612624;0.143071488
196;0.12901248;0.066106368;0.143491392
197;0.13265856;0.0649175904;0.141831648
198;0.13630464;0.0637287264;0.140171904
199;0.13995072;0.0625399488;0.138511296
200;0.12543552;0.061738848;0.135949536
201;0.11092032;0.0609378336;0.133386912
202;0.09640512;0.0601367328;0.130824288
203;0.194509728;0.0596640384;0.138976992
204;0.292613472;0.0591912576;0.14713056
205;0.39071808;0.0587185632;0.155283264
206;0.32403456;0.0594857952;0.1671624
207;0.25735104;0.0602531136;0.179041536
208;0.19066752;0.0610203456;0.190921536
209;0.212883552;0.061560432;0.205362432
210;0.235100448;0.062100432;0.219803328
211;0.25731648;0.062640432;0.234245088
212;0.22450176;0.0628811424;0.2212056
213;0.19168704;0.0631217664;0.208166112
214;0.15887232;0.0633624768;0.195126624
215;0.181048608;0.0633034656;0.197448192
216;0.203224032;0.0632444544;0.199768896
217;0.22540032;0.0631854432;0.202090464
218;0.430433568;0.0632574144;0.238101984
219;0.635465952;0.063329472;0.274113504
220;0.8404992;0.0634015296;0.310125888
221;0.741007008;0.0634972608;0.341658432
222;0.641513952;0.0635930784;0.37319184
223;0.54202176;0.063688896;0.404724384
224;0.778642848;0.0636596064;0.453398688
225;1.01526048;0.0636303168;0.502073856
226;1.25188416;0.0636011136;0.55074816
227;0.990792;0.06338088;0.564261984
228;0.729705888;0.0631606464;0.577775808
229;0.46861632;0.0629404128;0.591288768
230;0.434805408;0.0629742816;0.554901408
231;0.400993632;0.063008064;0.518514048
232;0.36718272;0.0630419328;0.482125824
233;0.354994272;0.0631310976;0.480743424
234;0.342806688;0.0632202624;0.47936016
235;0.33061824;0.0633094272;0.477976896
236;0.301334688;0.0622035936;0.46791216
237;0.272050272;0.0610978464;0.457847424
238;0.24276672;0.0599920128;0.447782688
239;0.28833408;0.0600295104;0.441445248
240;0.33390144;0.0600669216;0.435107808
241;0.3794688;0.0601044192;0.428771232
242;0.43982784;0.061067088;0.482867136
243;0.50018688;0.0620298432;0.536963904
